FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function1737,Enediyne biosynthesis,M00834+02,"Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP",K21255
Function1738,Enediyne biosynthesis,M00834+03,"Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP",K21256
Function1739,Enediyne biosynthesis,M00834+04,"Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP",K21257
Function1740,Enediyne biosynthesis,M00834+05,"Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP",K21258
Function1741,Biosynthesis of other bacterial compounds,M00835+01,"Pyocyanine biosynthesis, chorismate => pyocyanine",K13063
Function1742,Biosynthesis of other bacterial compounds,M00835+02,"Pyocyanine biosynthesis, chorismate => pyocyanine",K20261
Function1743,Biosynthesis of other bacterial compounds,M00835+03,"Pyocyanine biosynthesis, chorismate => pyocyanine",K06998
Function1744,Biosynthesis of other bacterial compounds,M00835+04,"Pyocyanine biosynthesis, chorismate => pyocyanine",K20260
Function1745,Biosynthesis of other bacterial compounds,M00835+05,"Pyocyanine biosynthesis, chorismate => pyocyanine",K20262
Function1746,Biosynthesis of other bacterial compounds,M00835+06,"Pyocyanine biosynthesis, chorismate => pyocyanine",K21103
Function1747,Biosynthesis of other bacterial compounds,M00835+07,"Pyocyanine biosynthesis, chorismate => pyocyanine",K20940
Function1748,Cofactor and vitamin metabolism,M00836+01,"Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430",K22011
Function1749,Cofactor and vitamin metabolism,M00836+02,"Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430",K22012
Function1750,Cofactor and vitamin metabolism,M00836+03,"Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430",(K21610 and K21611)
Function1751,Cofactor and vitamin metabolism,M00836+04,"Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430",K21612
Function1752,Biosynthesis of other bacterial compounds,M00837+01,"Prodigiosin biosynthesis, L-proline => prodigiosin",K21780 and K21781
Function1753,Biosynthesis of other bacterial compounds,M00837+02,"Prodigiosin biosynthesis, L-proline => prodigiosin",K21782
Function1754,Biosynthesis of other bacterial compounds,M00837+03,"Prodigiosin biosynthesis, L-proline => prodigiosin",K21783
Function1755,Biosynthesis of other bacterial compounds,M00837+04,"Prodigiosin biosynthesis, L-proline => prodigiosin",K21784
Function1756,Biosynthesis of other bacterial compounds,M00837+05,"Prodigiosin biosynthesis, L-proline => prodigiosin",K21785
Function1757,Biosynthesis of other bacterial compounds,M00837+06,"Prodigiosin biosynthesis, L-proline => prodigiosin",K21786
Function1758,Biosynthesis of other bacterial compounds,M00838+01,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",K21780 and K21781
Function1759,Biosynthesis of other bacterial compounds,M00838+02,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",K21782
Function1760,Biosynthesis of other bacterial compounds,M00838+03,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",K21783
Function1761,Biosynthesis of other bacterial compounds,M00838+04,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",K21784
Function1762,Biosynthesis of other bacterial compounds,M00838+05,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",K21785
Function1763,Biosynthesis of other bacterial compounds,M00838+06,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",K21786
Function1764,Cofactor and vitamin metabolism,M00840+01,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",K14652
Function1765,Cofactor and vitamin metabolism,M00840+02,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",K22100
Function1766,Cofactor and vitamin metabolism,M00840+03,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",K01633
Function1767,Cofactor and vitamin metabolism,M00840+04,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",K13941
Function1768,Cofactor and vitamin metabolism,M00840+05,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",K22099
Function1769,Cofactor and vitamin metabolism,M00840+06,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",K00287
Function1770,Cofactor and vitamin metabolism,M00841+01,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF",K01495
Function1771,Cofactor and vitamin metabolism,M00841+02,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF",K22101
Function1772,Cofactor and vitamin metabolism,M00841+03,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF",K13941
Function1773,Cofactor and vitamin metabolism,M00841+04,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF",K11754
Function1774,Cofactor and vitamin metabolism,M00841+05,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF",K13998
Function1775,Cofactor and vitamin metabolism,M00842+01,"Tetrahydrobiopterin biosynthesis, GTP => BH4",K01495
Function1776,Cofactor and vitamin metabolism,M00842+02,"Tetrahydrobiopterin biosynthesis, GTP => BH4",K01737
Function1777,Cofactor and vitamin metabolism,M00842+03,"Tetrahydrobiopterin biosynthesis, GTP => BH4",K00072
Function1778,Cofactor and vitamin metabolism,M00843+01,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",K01495
Function1779,Cofactor and vitamin metabolism,M00843+02,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",K01737
Function1780,Cofactor and vitamin metabolism,M00843+03,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",K17745
Function1781,Arginine and proline metabolism,M00844+01,"Arginine biosynthesis, ornithine => arginine",K00611
Function1782,Arginine and proline metabolism,M00844+02,"Arginine biosynthesis, ornithine => arginine",K01940
Function1783,Arginine and proline metabolism,M00844+03,"Arginine biosynthesis, ornithine => arginine",(K01755 or K14681)
Function1784,Arginine and proline metabolism,M00845+01,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K22478
Function1785,Arginine and proline metabolism,M00845+02,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K00145
Function1786,Arginine and proline metabolism,M00845+03,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K00821
Function1787,Arginine and proline metabolism,M00845+04,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K09065
Function1788,Arginine and proline metabolism,M00845+05,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K01438
Function1789,Arginine and proline metabolism,M00845+06,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K01940
Function1790,Arginine and proline metabolism,M00845+07,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",K01755
Function1791,Cofactor and vitamin metabolism,M00846+01,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",K02492
Function1792,Cofactor and vitamin metabolism,M00846+02,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",K01845
Function1793,Cofactor and vitamin metabolism,M00846+03,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",K01698
Function1794,Cofactor and vitamin metabolism,M00846+04,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",K01749
Function1795,Cofactor and vitamin metabolism,M00846+05,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",(K01719 or K13542 or K13543)
Function1796,Cofactor and vitamin metabolism,M00846+06,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",(K02302 or (K00589 or K02303 or K02496 or K13542 or K13543) and (K02304 or (K24866 and K03794)))
Function1797,Cofactor and vitamin metabolism,M00847+01,"Heme biosynthesis, archaea, siroheme => heme",K22225
Function1798,Cofactor and vitamin metabolism,M00847+02,"Heme biosynthesis, archaea, siroheme => heme",K22226
Function1799,Cofactor and vitamin metabolism,M00847+03,"Heme biosynthesis, archaea, siroheme => heme",(K22227 or K25033)
Function1800,Biosynthesis of other antibiotics,M00848+01,"Aurachin biosynthesis, anthranilate => aurachin A",K09460
Function1801,Biosynthesis of other antibiotics,M00848+02,"Aurachin biosynthesis, anthranilate => aurachin A",K02078 and K14245 and K14246 and K22798
Function1802,Biosynthesis of other antibiotics,M00848+03,"Aurachin biosynthesis, anthranilate => aurachin A",K22799
Function1803,Biosynthesis of other antibiotics,M00848+04,"Aurachin biosynthesis, anthranilate => aurachin A",K22800
Function1804,Biosynthesis of other antibiotics,M00848+05,"Aurachin biosynthesis, anthranilate => aurachin A",K21272
Function1805,Biosynthesis of other antibiotics,M00848+06,"Aurachin biosynthesis, anthranilate => aurachin A",K21271
Function1806,Biosynthesis of other antibiotics,M00848+07,"Aurachin biosynthesis, anthranilate => aurachin A",K22801
Function1807,Biosynthesis of other antibiotics,M00848+08,"Aurachin biosynthesis, anthranilate => aurachin A",K22802
Function1808,Terpenoid backbone biosynthesis,M00849+01,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",K00626
Function1809,Terpenoid backbone biosynthesis,M00849+02,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",K01641
Function1810,Terpenoid backbone biosynthesis,M00849+03,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",(K00021 or K00054)
Function1811,Terpenoid backbone biosynthesis,M00849+04,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",((K00869 and (K17942 or (K25517 and K09128 and K25518 and K03186))) or (K18689 and K18690 and K22813))
Function1812,Terpenoid backbone biosynthesis,M00849+05,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",K06981
Function1813,Terpenoid backbone biosynthesis,M00849+06,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",K01823
Function1814,Pathogenicity,M00850+01,"Vibrio cholerae pathogenicity signature, cholera toxins",(K10928 and K10929)
Function1815,Pathogenicity,M00850+02,"Vibrio cholerae pathogenicity signature, cholera toxins",K10954
Function1816,Pathogenicity,M00850+03,"Vibrio cholerae pathogenicity signature, cholera toxins",K10952
Function1817,Pathogenicity,M00850+04,"Vibrio cholerae pathogenicity signature, cholera toxins",K10953
Function1818,Pathogenicity,M00850+05,"Vibrio cholerae pathogenicity signature, cholera toxins",K10948
Function1819,Pathogenicity,M00850+06,"Vibrio cholerae pathogenicity signature, cholera toxins",K11018
Function1820,Drug resistance,M00851+01,Carbapenem resistance,(K18768 or K18970 or K19316 or K22346 or K18794 or K19318 or K18971 or K18793 or K19319 or K19320 or K19321 or K19322 or K18972 or K19211 or K18976 or K21277 or K18782 or K18781 or K18780 or K19099 or K19216)
Function1821,Pathogenicity,M00852+01,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10961
Function1822,Pathogenicity,M00852+02,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10920
Function1823,Pathogenicity,M00852+03,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10919
Function1824,Pathogenicity,M00852+04,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10930
Function1825,Pathogenicity,M00852+05,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10931
Function1826,Pathogenicity,M00852+06,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10962
Function1827,Pathogenicity,M00852+07,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10932
Function1828,Pathogenicity,M00852+08,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10963
Function1829,Pathogenicity,M00852+09,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10933
Function1830,Pathogenicity,M00852+10,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10964
Function1831,Pathogenicity,M00852+11,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10965
Function1832,Pathogenicity,M00852+12,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10934
Function1833,Pathogenicity,M00852+13,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10935
Function1834,Pathogenicity,M00852+14,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",K10966
Function1835,Pathogenicity,M00853+01,"ETEC pathogenicity signature, colonization factors",K22850
Function1836,Pathogenicity,M00853+02,"ETEC pathogenicity signature, colonization factors",K22852
Function1837,Pathogenicity,M00853+03,"ETEC pathogenicity signature, colonization factors",K22853
Function1838,Pathogenicity,M00853+04,"ETEC pathogenicity signature, colonization factors",K22854
Function1839,Other carbohydrate metabolism,M00854+01,"Glycogen biosynthesis, glucose-1P => glycogen/starch",(K00963 and (K00693 and K00750 or K16150 or K16153 or K13679 or K20812)) or (K00975 and (K00703 or K13679 or K20812))
Function1840,Other carbohydrate metabolism,M00854+02,"Glycogen biosynthesis, glucose-1P => glycogen/starch",(K00700 or K16149)
Function1841,Other carbohydrate metabolism,M00855+01,"Glycogen degradation, glycogen => glucose-6P",(K00688 or K16153)
Function1842,Other carbohydrate metabolism,M00855+02,"Glycogen degradation, glycogen => glucose-6P",(K01196 or ((K00705 or K22451) and (K02438 or K01200)))
Function1843,Other carbohydrate metabolism,M00855+03,"Glycogen degradation, glycogen => glucose-6P",(K15779 or K01835 or K15778)
Function1844,Pathogenicity,M00856+01,"Salmonella enterica pathogenicity signature, typhoid toxin",K11014
Function1845,Pathogenicity,M00856+02,"Salmonella enterica pathogenicity signature, typhoid toxin",K11023
Function1846,Pathogenicity,M00856+03,"Salmonella enterica pathogenicity signature, typhoid toxin",K19298
Function1847,Pathogenicity,M00856+04,"Salmonella enterica pathogenicity signature, typhoid toxin",K22918
Function1848,Pathogenicity,M00857+01,"Salmonella enterica pathogenicity signature, Vi antigen",K22914
Function1849,Pathogenicity,M00857+02,"Salmonella enterica pathogenicity signature, Vi antigen",K22926
Function1850,Pathogenicity,M00857+03,"Salmonella enterica pathogenicity signature, Vi antigen",K22925
Function1851,Pathogenicity,M00857+04,"Salmonella enterica pathogenicity signature, Vi antigen",K22915
Function1852,Pathogenicity,M00857+05,"Salmonella enterica pathogenicity signature, Vi antigen",K22916
Function1853,Pathogenicity,M00857+06,"Salmonella enterica pathogenicity signature, Vi antigen",K22917
Function1854,Pathogenicity,M00857+07,"Salmonella enterica pathogenicity signature, Vi antigen",(K22924 and K22921 and K22923 and K22922)
Function1855,Pathogenicity,M00859+01,"Bacillus anthracis pathogenicity signature, anthrax toxin",K11030
Function1856,Pathogenicity,M00859+02,"Bacillus anthracis pathogenicity signature, anthrax toxin",K08645
Function1857,Pathogenicity,M00859+03,"Bacillus anthracis pathogenicity signature, anthrax toxin",K11029
Function1858,Pathogenicity,M00860+01,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K22976
Function1859,Pathogenicity,M00860+02,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K22977
Function1860,Pathogenicity,M00860+03,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K22980
Function1861,Pathogenicity,M00860+04,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K07282
Function1862,Pathogenicity,M00860+05,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K22116
Function1863,Pathogenicity,M00860+06,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K01932
Function1864,Pathogenicity,M00860+07,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",K22981
Function1865,Fatty acid metabolism,M00861+01,"beta-Oxidation, peroxisome, VLCFA",K00232
Function1866,Fatty acid metabolism,M00861+02,"beta-Oxidation, peroxisome, VLCFA",K12405
Function1867,Fatty acid metabolism,M00861+03,"beta-Oxidation, peroxisome, VLCFA",(K07513 or K08764)
Function1868,Sterol biosynthesis,M00862+01,"beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA",K10214
Function1869,Sterol biosynthesis,M00862+02,"beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA",K12405
Function1870,Sterol biosynthesis,M00862+03,"beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA",K08764
Function1871,Lipopolysaccharide metabolism,M00866+01,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K00677
Function1872,Lipopolysaccharide metabolism,M00866+02,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",(K02535 or K16363)
Function1873,Lipopolysaccharide metabolism,M00866+03,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K02536
Function1874,Lipopolysaccharide metabolism,M00866+04,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",(K03269 or K09949)
Function1875,Lipopolysaccharide metabolism,M00866+05,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K00748
Function1876,Lipopolysaccharide metabolism,M00866+06,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K00912
Function1877,Lipopolysaccharide metabolism,M00866+07,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K02527
Function1878,Lipopolysaccharide metabolism,M00866+08,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K02517
Function1879,Lipopolysaccharide metabolism,M00866+09,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",K09778
Function1880,Lipopolysaccharide metabolism,M00867+01,KDO2-lipid A modification pathway,K12977
Function1881,Lipopolysaccharide metabolism,M00867+02,KDO2-lipid A modification pathway,K03760
Function1882,Lipopolysaccharide metabolism,M00867+03,KDO2-lipid A modification pathway,K23082 and K23083
Function1883,Lipopolysaccharide metabolism,M00867+04,KDO2-lipid A modification pathway,K23159
Function1884,Lipopolysaccharide metabolism,M00867+05,KDO2-lipid A modification pathway,K09953
Function1885,Cofactor and vitamin metabolism,M00868+01,"Heme biosynthesis, animals and fungi, glycine => heme",K00643
Function1886,Cofactor and vitamin metabolism,M00868+02,"Heme biosynthesis, animals and fungi, glycine => heme",K01698
Function1887,Cofactor and vitamin metabolism,M00868+03,"Heme biosynthesis, animals and fungi, glycine => heme",K01749
Function1888,Cofactor and vitamin metabolism,M00868+04,"Heme biosynthesis, animals and fungi, glycine => heme",K01719
Function1889,Cofactor and vitamin metabolism,M00868+05,"Heme biosynthesis, animals and fungi, glycine => heme",K01599
Function1890,Cofactor and vitamin metabolism,M00868+06,"Heme biosynthesis, animals and fungi, glycine => heme",K00228
Function1891,Cofactor and vitamin metabolism,M00868+07,"Heme biosynthesis, animals and fungi, glycine => heme",K00231
Function1892,Cofactor and vitamin metabolism,M00868+08,"Heme biosynthesis, animals and fungi, glycine => heme",K01772
Function1893,Glycan biosynthesis,M00872+01,"O-glycan biosynthesis, mannose type (core M3)",K00728
Function1894,Glycan biosynthesis,M00872+02,"O-glycan biosynthesis, mannose type (core M3)",K18207
Function1895,Glycan biosynthesis,M00872+03,"O-glycan biosynthesis, mannose type (core M3)",K09654
Function1896,Glycan biosynthesis,M00872+04,"O-glycan biosynthesis, mannose type (core M3)",K17547
Function1897,Fatty acid metabolism,M00873+01,"Fatty acid biosynthesis in mitochondria, animals",K18660
Function1898,Fatty acid metabolism,M00873+02,"Fatty acid biosynthesis in mitochondria, animals",K03955 and K00645
Function1899,Fatty acid metabolism,M00873+03,"Fatty acid biosynthesis in mitochondria, animals",K09458
Function1900,Fatty acid metabolism,M00873+04,"Fatty acid biosynthesis in mitochondria, animals",K11539 and K13370
Function1901,Fatty acid metabolism,M00873+05,"Fatty acid biosynthesis in mitochondria, animals",K22540
Function1902,Fatty acid metabolism,M00873+06,"Fatty acid biosynthesis in mitochondria, animals",K07512
Function1903,Fatty acid metabolism,M00874+01,"Fatty acid biosynthesis in mitochondria, fungi",K11262
Function1904,Fatty acid metabolism,M00874+02,"Fatty acid biosynthesis in mitochondria, fungi",K03955 and K00645
Function1905,Fatty acid metabolism,M00874+03,"Fatty acid biosynthesis in mitochondria, fungi",K09458
Function1906,Fatty acid metabolism,M00874+04,"Fatty acid biosynthesis in mitochondria, fungi",K00059
Function1907,Fatty acid metabolism,M00874+05,"Fatty acid biosynthesis in mitochondria, fungi",K22541
Function1908,Fatty acid metabolism,M00874+06,"Fatty acid biosynthesis in mitochondria, fungi",K07512
Function1909,Biosynthesis of other bacterial compounds,M00875+01,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K23371
Function1910,Biosynthesis of other bacterial compounds,M00875+02,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K21949
Function1911,Biosynthesis of other bacterial compounds,M00875+03,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K21721
Function1912,Biosynthesis of other bacterial compounds,M00875+04,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K23372
Function1913,Biosynthesis of other bacterial compounds,M00875+05,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K23373
Function1914,Biosynthesis of other bacterial compounds,M00875+06,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K23374
Function1915,Biosynthesis of other bacterial compounds,M00875+07,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",K23375
Function1916,Biosynthesis of other bacterial compounds,M00876+01,"Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A",K21898
Function1917,Biosynthesis of other bacterial compounds,M00876+02,"Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A",K23446
Function1918,Biosynthesis of other bacterial compounds,M00876+03,"Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A",K23447
Function1919,Biosynthesis of other antibiotics,M00877+01,"Kanosamine biosynthesis, glucose 6-phosphate => kanosamine",K18652
Function1920,Biosynthesis of other antibiotics,M00877+02,"Kanosamine biosynthesis, glucose 6-phosphate => kanosamine",K18653
Function1921,Biosynthesis of other antibiotics,M00877+03,"Kanosamine biosynthesis, glucose 6-phosphate => kanosamine",K18654
Function1922,Aromatics degradation,M00878+01,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K01912
Function1923,Aromatics degradation,M00878+02,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K02609 and K02610 and K02611 and K02612 and K02613
Function1924,Aromatics degradation,M00878+03,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K15866
Function1925,Aromatics degradation,M00878+04,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K02618
Function1926,Aromatics degradation,M00878+05,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K02615
Function1927,Aromatics degradation,M00878+06,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K01692
Function1928,Aromatics degradation,M00878+07,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",K00074
Function1929,Arginine and proline metabolism,M00879+01,"Arginine succinyltransferase pathway, arginine => glutamate",K00673
Function1930,Arginine and proline metabolism,M00879+02,"Arginine succinyltransferase pathway, arginine => glutamate",K01484
Function1931,Arginine and proline metabolism,M00879+03,"Arginine succinyltransferase pathway, arginine => glutamate",K00840
Function1932,Arginine and proline metabolism,M00879+04,"Arginine succinyltransferase pathway, arginine => glutamate",K06447
Function1933,Arginine and proline metabolism,M00879+05,"Arginine succinyltransferase pathway, arginine => glutamate",K05526
Function1934,Cofactor and vitamin metabolism,M00880+01,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",((K03639 and K03637) or K20967)
Function1935,Cofactor and vitamin metabolism,M00880+02,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",(K03635 or K21142)
Function1936,Cofactor and vitamin metabolism,M00880+03,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",(((K03831 or K03638) and K03750) or K15376)
Function1937,Cofactor and vitamin metabolism,M00881+01,"Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H",K03801
Function1938,Cofactor and vitamin metabolism,M00881+02,"Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H",K03644
Function1939,Cofactor and vitamin metabolism,M00882+01,"Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H",K23735
Function1940,Cofactor and vitamin metabolism,M00882+02,"Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H",K03644
Function1941,Cofactor and vitamin metabolism,M00883+01,"Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2",(K23735 or K23734)
Function1942,Cofactor and vitamin metabolism,M00883+02,"Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2",K03644
Function1943,Cofactor and vitamin metabolism,M00883+03,"Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2",(K10105 or K16869)
Function1944,Cofactor and vitamin metabolism,M00884+01,"Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2",K23750
Function1945,Cofactor and vitamin metabolism,M00884+02,"Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2",K03644
Function1946,Biosynthesis of other antibiotics,M00889+01,"Puromycin biosynthesis, ATP => puromycin",K12628
Function1947,Biosynthesis of other antibiotics,M00889+02,"Puromycin biosynthesis, ATP => puromycin",K12629
Function1948,Biosynthesis of other antibiotics,M00889+03,"Puromycin biosynthesis, ATP => puromycin",K12630
Function1949,Biosynthesis of other antibiotics,M00889+04,"Puromycin biosynthesis, ATP => puromycin",K12631
Function1950,Biosynthesis of other antibiotics,M00889+05,"Puromycin biosynthesis, ATP => puromycin",K12632
Function1951,Biosynthesis of other antibiotics,M00889+06,"Puromycin biosynthesis, ATP => puromycin",K12633
Function1952,Biosynthesis of other antibiotics,M00889+07,"Puromycin biosynthesis, ATP => puromycin",K12634
Function1953,Biosynthesis of other antibiotics,M00889+08,"Puromycin biosynthesis, ATP => puromycin",K12635
Function1954,Biosynthesis of other antibiotics,M00889+09,"Puromycin biosynthesis, ATP => puromycin",K12636
Function1955,Biosynthesis of other antibiotics,M00890+01,"Roseoflavin biosynthesis, FMN => roseoflavin",K22598
Function1956,Biosynthesis of other antibiotics,M00890+02,"Roseoflavin biosynthesis, FMN => roseoflavin",K22269
Function1957,Biosynthesis of other fungal compounds,M00891+01,"Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline",K23646
Function1958,Biosynthesis of other fungal compounds,M00891+02,"Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline",K23647
Function1959,Biosynthesis of other fungal compounds,M00891+03,"Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline",K21477
Function1960,Other carbohydrate metabolism,M00892+01,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",(K00844 or K12407 or K00845)
Function1961,Other carbohydrate metabolism,M00892+02,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",K01810
Function1962,Other carbohydrate metabolism,M00892+03,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",K00820
Function1963,Other carbohydrate metabolism,M00892+04,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",K00621
Function1964,Other carbohydrate metabolism,M00892+05,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",K01836
